,Time,Angle,X,Y,Tilt,Temp
0,1637631203.1377683,-180.0,8.785851856470085,-0.006685242240373266,0.07094442862470325,0.31326637772363464
1,1637631204.150879,-180.0,8.775704401288367,-0.005975101585955412,0.07161424400425988,0.31326142135233725
2,1637631205.1651058,-180.0,8.777462659313302,-0.004841280467247536,0.07032266849729052,0.3132764471894324
3,1637631206.1842287,-180.0,8.781930289301856,-0.005398495503605152,0.06998206979620042,0.3132367374478524
4,1637631207.2030966,-180.0,8.78987407911549,-0.0058194712243481005,0.07045341482945866,0.31319712565827434
5,1637631208.2222934,-180.0,8.791386889014005,-0.00553581064959222,0.07086804565360291,0.3132094480201164
6,1637631209.2406857,-180.0,8.795545891834896,-0.005784307389527991,0.0706997641142975,0.31320746938967753
7,1637631210.2548604,-180.0,8.793973820975218,-0.006841225194366849,0.07080978380285853,0.31321205354336756
8,1637631211.2699888,-180.0,8.790919109433617,-0.0060557668885480994,0.07086971083763563,0.31322190751476114
9,1637631212.2884374,-180.0,8.794448359243738,-0.007234287351196592,0.07095142239764061,0.3132383830414847
10,1637631213.3068845,-180.0,8.80166910655997,-0.005250387112904978,0.07080443562355347,0.31326181316034496
11,1637631214.3257587,-180.0,8.803961810297803,-0.007368997231218427,0.07064949514691012,0.31320562789204137
12,1637631215.343966,-180.0,8.80805334377977,-0.006673566709466849,0.07134597306139046,0.3132091541641106
13,1637631216.3589764,-180.0,8.8031063366938,-0.005672577318533975,0.07059857969631002,0.3131322422521999
14,1637631217.3769782,-180.0,8.797325131178646,-0.00618632322017754,0.070787254842416,0.31322376860279766
15,1637631218.3962786,-180.0,8.787903049751975,-0.005851292915676389,0.07055548081546346,0.31319426545981816
16,1637631219.4148276,-180.0,8.796598581999573,-0.005786210009243102,0.07063025737373224,0.3132548977490091
17,1637631220.4325447,-180.0,8.79578985109089,-0.006755153475184656,0.07087456925693106,0.3132470615888552
18,1637631221.4458282,-180.0,8.797046634046774,-0.006642304323111689,0.070695003647004,0.31329646857862564
19,1637631222.458435,-180.0,8.791901763916918,-0.006768551985862995,0.07031786884919625,0.3132793857494901
20,1637631223.471035,-180.0,8.795213286017164,-0.00625445269506888,0.07040872912618094,0.3131888389189116
21,1637631224.4850535,-180.0,8.794361769674039,-0.00644060188969816,0.07101728532373432,0.31319465726782586
22,1637631225.503903,-180.0,8.792545563244763,-0.0052870763095431775,0.07071533848260342,0.3132235922891942
23,1637631226.522443,-180.0,8.793090666135472,-0.006525498300926114,0.07098441263188862,0.31323879443989283
24,1637631227.540141,-180.0,8.792739469027772,-0.0055166923068699115,0.07106665313270401,0.31325564218422375
25,1637631228.5563703,-180.0,8.80763126860348,-0.0058199609359957,0.07077275794613126,0.3132150508746264
26,1637631229.573674,-180.0,8.80886736409656,-0.005825112702528453,0.07057134903977515,0.31314532863965694
27,1637631230.5861068,-180.0,8.795711920478158,-0.006257155906507164,0.07077534387898206,0.31319806599749284
28,1637631231.6039212,-180.0,8.794598891880295,-0.006145677947047477,0.07054676308729223,0.3132066074120606
29,1637631232.622401,-180.0,8.800842567977336,-0.0058520664316123626,0.07031937731002587,0.313150931494167
30,1637631233.637112,-180.0,8.791753347043603,-0.006460403218628897,0.07031863287481126,0.3131533802942151
31,1637631234.652192,-180.0,8.792420615671109,-0.00633639125108886,0.07000205200459292,0.3131628816384017
32,1637631235.6704683,-180.0,8.784479294247925,-0.005821253774745364,0.07028421254133516,0.31321403217380644
33,1637631236.6890392,-180.0,8.791966862817397,-0.006460797598045189,0.06995789524212558,0.3132135620041972
34,1637631237.7075427,-180.0,8.794150722290693,-0.005747268139025942,0.06990558887309817,0.3133108675229085
35,1637631238.7217307,-180.0,8.783737229471749,-0.0062537671019057715,0.0702791386276355,0.31329251131774793
36,1637631239.7346735,-180.0,8.783840862689784,-0.006719208640250809,0.07113772710530004,0.3132662797716327
37,1637631240.7524896,-180.0,8.776511310289816,-0.006392805998797167,0.07118443061981741,0.31322388614519997
38,1637631241.7697031,-180.0,8.781631476924787,-0.005368270500715274,0.07158364379885883,0.31330021034509914
39,1637631242.786877,-180.0,8.783980267978922,-0.005935748357954267,0.0718701338140861,0.31322625658364656
40,1637631243.80569,-180.0,8.785184391938575,-0.006380426122441061,0.07125875659887733,0.3132058042056448
41,1637631244.8202798,-180.0,8.791078398979145,-0.00700433834994949,0.0709308328868362,0.31315165633898123
42,1637631245.8331542,-180.0,8.785569127811732,-0.006780598892393957,0.0711384323597139,0.3132928051737537
43,1637631246.846526,-180.0,8.785235170256371,-0.005445821237229225,0.07104767003473113,0.31326592714442575
44,1637631247.8617427,-180.0,8.793166814021767,-0.004734478929491623,0.07098306089426207,0.3132897490712937
45,1637631248.8741522,-180.0,8.789788664969812,-0.006541619608365109,0.07084134393787844,0.313247864795271
46,1637631249.8867495,-180.0,8.789433941590044,-0.005495497586761779,0.07036026247562895,0.31313141945538375
47,1637631250.899389,-180.0,8.779470773304746,-0.006992663624270703,0.0703882963385796,0.31317422448022453
48,1637631251.9120514,-180.0,8.784560692361524,-0.004355467725962813,0.07067970354430347,0.3132416350479486
49,1637631252.9246666,-180.0,8.789310855104427,-0.004680811360653284,0.0707696234820697,0.3132546234834037
50,1637631253.9377642,-180.0,8.793491466136944,-0.006427791032996942,0.07071089146171607,0.31328851487606946
51,1637631254.9506264,-180.0,8.791480413585441,-0.006520229003597937,0.07070787454005681,0.3132433002319813
52,1637631255.9632497,-180.0,8.79826574466272,-0.0061796051699932126,0.07063582104744152,0.3131571220606886
