,Time,Angle,X,Y,Tilt,Temp,ISTilt,ISTiltTemp,ISTemp
0,1689188235.5342836,-180.0,0.4000221278933067,-0.012280383904630475,3.072111321375764,0.309420439296092,0.45426737353960156,0.24577316299792074,-2.2418906054453044e-05
1,1689188236.5505657,-180.0,0.3997223555866185,-0.012507042043605705,3.072126851665669,0.3094454317493829,0.454261236846681,0.24577573423797125,3.0922171845304547e-07
2,1689188249.3041852,-150.0,0.33325113776577886,-0.012489147980002398,3.067880534430262,0.3094336040451506,0.4541819055203228,0.24578060245246686,-5.1832332859349764e-05
3,1689188250.3184092,-150.0,0.33296597010257756,-0.012393473015410765,3.067869529522846,0.3093860189626159,0.45416994068328775,0.2457693232794453,4.114494496813374e-06
4,1689188263.0779989,-120.0,0.13823557326804803,-0.013173853011443902,3.061878437355568,0.3095082042898159,0.45410476831880764,0.24578139096608234,4.903281055451063e-06
5,1689188264.0919375,-120.0,0.1380427988306615,-0.012647794965358925,3.061849673750203,0.309405114705391,0.4540975345634656,0.24579407575033152,-4.64513218187474e-05
6,1689188276.8458934,-90.0,0.009607609864714404,-0.013276966695962579,3.0561236592905314,0.3094452260501789,0.45404418990321777,0.24577378009553286,2.9173964549045195e-05
7,1689188277.859955,-90.0,0.009820302841692156,-0.012582766155674108,3.0561038093173414,0.30940916012307046,0.45403212221658074,0.2457814595324837,-5.587805014152359e-05
8,1689188290.6156173,-60.0,0.07839609778547027,-0.013496768871871408,3.052106936650034,0.3094005893229021,0.4540007873711652,0.24578067101886822,-6.095132908967571e-05
9,1689188291.6294842,-60.0,0.07798860766226628,-0.012883742934289129,3.0521076223140478,0.3094182451712489,0.45399849039672013,0.2457879047742103,-0.00011974430193125347
10,1689188304.3874977,-30.0,0.2719969660074134,-0.012248263717664385,3.0508139800198375,0.3095133124867162,0.4539656128072743,0.2457737458123322,-1.7688132850758444e-05
11,1689188305.4025526,-30.0,0.2715536499395057,-0.01204388745865496,3.0507837422368436,0.30945197984071154,0.4539529965894265,0.2457786483100285,-2.3550338002880584e-05
12,1689188318.159301,0.0,0.3958868196616802,-0.012755056507532773,3.0526353093388128,0.30939692102043004,0.4539637272312373,0.24577689986679413,-0.0001111741847555297
13,1689188319.1735544,0.0,0.3960313576357193,-0.012342601769458068,3.052630338274715,0.30947961210045427,0.4539695553753518,0.24577042034186686,-1.2682703034746131e-05
14,1689188331.931612,30.0,0.3302773443729671,-0.012865437512901836,3.0569916413651805,0.30946188768570615,0.4539910852253747,0.24577107172267965,-6.900786897606142e-05
15,1689188332.9480011,30.0,0.33051105295195765,-0.013227329523361833,3.0569821106353934,0.3094508484950893,0.453979086105139,0.2457786140268278,-3.221933563205918e-06
16,1689188345.7096071,60.0,0.1375479551121417,-0.013097751821406847,3.0628372013456,0.30944087208369336,0.4540214258579706,0.24576726628740492,-4.3159264521364094e-05
17,1689188346.7283936,60.0,0.13717755941206633,-0.013346074803671905,3.062867336278992,0.30949963348964754,0.4540113465969726,0.24577148312108774,-2.8796078178553824e-05
18,1689188359.4878075,90.0,0.009877418654014036,-0.013324272841120748,3.068647243930122,0.30948098342848124,0.45403904742311674,0.24578320797571804,-5.121562371515312e-05
19,1689188360.5051005,90.0,0.01016783164691838,-0.013682805429678209,3.068658763085548,0.30941135424791355,0.45402331143400765,0.24577237448430525,-8.433176102724044e-05
20,1689188373.26677,120.0,0.07934923933059206,-0.013135973815502034,3.0727617422589395,0.30947964638365494,0.4540032557616137,0.245777962646015,-4.33309073426042e-05
21,1689188374.2816203,120.0,0.07936226694684795,-0.013287353480008177,3.0727989395316704,0.3094625733497196,0.45400891248972486,0.24577521998996113,6.103009001081874e-06
22,1689188387.039176,150.0,0.2732330810908934,-0.012553868271349225,3.073914994846392,0.30943980930447246,0.45403448775742716,0.24576928899624464,-8.594363004021943e-05
23,1689188388.0547252,150.0,0.27320112914786576,-0.012892724245906114,3.073948935215059,0.3094466659446071,0.454042167194378,0.24578704769419346,-0.00013551396276372744
24,1689188400.8132079,180.0,0.39806287725802275,-0.011989965309137714,3.0716597087732933,0.309485097412562,0.4540336992438117,0.24577453432594767,-9.314218813945747e-05
25,1689188401.8274832,180.0,0.39767767121525643,-0.011805334223759524,3.0716704736983047,0.3095401219496428,0.4540214258579706,0.24578245374530322,-1.0274866895088053e-06
