,Time,Angle,X,Y,Tilt,Temp
0,1637566984.133527,-180.0,8.500720729365488,-0.005659903581094084,0.06944076744316806,0.313059698999575
1,1637566985.1468818,-180.0,8.495297655959767,-0.007084298467769634,0.07055258143620652,0.312967957154573
2,1637566986.1604004,-180.0,8.49464862599502,-0.006332179730919499,0.07201361390650438,0.31300433652808757
3,1637566987.1741343,-180.0,8.494764973382903,-0.006451081718956803,0.07313498801493061,0.3130419500968264
4,1637566988.1880674,-180.0,8.491427494002147,-0.0060053853542430015,0.07041429279989023,0.3131296759097495
5,1637566989.20078,-180.0,8.489959134722106,-0.0061261090696093775,0.069301930275641,0.3131335156282249
6,1637566990.2143843,-180.0,8.487721205743748,-0.005154087610226126,0.06873247651725568,0.3130424986280371
7,1637566991.2282012,-180.0,8.490848558489978,-0.004999537218538304,0.06880464755227328,0.3130051789153041
8,1637566992.2416387,-180.0,8.489156790283946,-0.005624272161614701,0.06849470782778538,0.31297301147787226
9,1637566993.2546701,-180.0,8.492421119109665,-0.005734574813120148,0.06843656351944331,0.3130336437670632
10,1637566994.2674649,-180.0,8.492962441053098,-0.005260827765231812,0.06849756802624157,0.3131180783927217
11,1637566995.2804706,-180.0,8.493607513756968,-0.007510563074306663,0.06809886419761016,0.31310279788042156
12,1637566996.2936897,-180.0,8.490032030601938,-0.005390522381608279,0.06811102983624912,0.31300394472007986
13,1637566997.306873,-180.0,8.49741012801406,-0.006515273121724224,0.06810358548410289,0.31298974167980087
14,1637566998.319963,-180.0,8.495161561448294,-0.006138606510856132,0.06832605407087267,0.3129872732893524
15,1637566999.3331182,-180.0,8.488781849610982,-0.006578837693582716,0.0680302586154626,0.31311825470632515
16,1637567000.3469622,-180.0,8.487907294957004,-0.006976738201490748,0.0678250883522326,0.313118195935124
17,1637567001.3603766,-180.0,8.489903066996206,-0.006269359520765358,0.06783027980833457,0.31308075867998864
18,1637567002.3729649,-180.0,8.486722487132132,-0.006158958926930393,0.06791150160832994,0.31298421718689234
19,1637567003.3863044,-180.0,8.488936711726025,-0.006075805889167896,0.06807235838588953,0.31295743710956636
20,1637567004.399811,-180.0,8.491515023911068,-0.006410885533792709,0.0679019023121414,0.31301013528660143
21,1637567005.4124413,-180.0,8.492393477054723,-0.006658974107595996,0.0678318078595646,0.31306118787000425
22,1637567006.4251423,-180.0,8.491412213489848,-0.006595135297214848,0.06766640610911574,0.31313641500748185
23,1637567007.4385703,-180.0,8.483033458016472,-0.006580816128639021,0.06780187372777662,0.3131348281850507
24,1637567008.4516873,-180.0,8.482615144197055,-0.007149253820707311,0.06782220856337604,0.31301131071062455
25,1637567009.4648438,-180.0,8.47372024044474,-0.006344050341257326,0.06770956376116345,0.3129568493975548
26,1637567010.478443,-180.0,8.473869323391668,-0.0070442008780641375,0.06751479600053778,0.31303575953030477
27,1637567011.4914358,-180.0,8.479361785995552,-0.006677426442477568,0.06750319848350998,0.3130968228083042
28,1637567012.5039353,-180.0,8.495522063996175,-0.006527574678311938,0.06776004822295507,0.3131158842678786
29,1637567013.5164425,-180.0,8.486007084890879,-0.007297381799873388,0.06767559400689621,0.3130323703910382
30,1637567014.5292385,-180.0,8.482310141253464,-0.006890313889922283,0.06744027411747401,0.31296970070020724
31,1637567015.542603,-180.0,8.483937319909424,-0.006028773982532382,0.06745081375288103,0.31303503468549054
32,1637567016.5558329,-180.0,8.479146977255333,-0.006304873409449317,0.06762126982662917,0.3131244452728468
33,1637567017.568947,-180.0,8.482172949679569,-0.006139174576367349,0.06754759033078193,0.3131208014583752
34,1637567018.582677,-180.0,8.481768309959621,-0.0057095995190925425,0.06746764190681158,0.313107401624512
35,1637567019.595932,-180.0,8.4861303085093,-0.0066850855326460335,0.06751544248375048,0.31300167223363523
36,1637567020.609429,-180.0,8.48974642215473,-0.005685995341749846,0.06725056068014762,0.31298858584617817
37,1637567021.6224759,-180.0,8.485853476561463,-0.006600561302270257,0.06748031689586054,0.3129727176218665
38,1637567022.6356504,-180.0,8.482068043085508,-0.007422395389272742,0.06763972398379164,0.31310085843078345
39,1637567023.6488297,-180.0,8.477688902935492,-0.00739714585672248,0.06744650386479638,0.3130766642863082
40,1637567024.6616006,-180.0,8.472177790270441,-0.006600894306190625,0.06719778414151098,0.31308886910574796
41,1637567025.6750247,-180.0,8.47999353722716,-0.006835152769936608,0.06730406206359851,0.31298991799340437
42,1637567026.68789,-180.0,8.484138846358183,-0.00766421500085767,0.06749281557130604,0.31300063394241484
43,1637567027.7010038,-180.0,8.481559789737926,-0.005769285574702042,0.0673637344231706,0.31300933208018566
44,1637567028.7144454,-180.0,8.479180868647997,-0.005283236970225993,0.06740708797922217,0.31309513803387107
45,1637567029.7273517,-180.0,8.478774113164809,-0.006502756092011565,0.06722007801714888,0.31309210152181144
46,1637567030.740812,-180.0,8.472121252374931,-0.006897071910659165,0.06730627577884199,0.3130042973472868
47,1637567031.7539017,-180.0,8.479164784929281,-0.007090723484586147,0.06743594463898897,0.3129596704152102
48,1637567032.766989,-180.0,8.471222111768471,-0.005995767417484136,0.06728206204396638,0.3129688387225903
49,1637567033.7801564,-180.0,8.475991669007755,-0.007748308284983559,0.06750554933155616,0.3131100267381635
50,1637567034.7932749,-180.0,8.476828237875386,-0.005552735084133279,0.06705685080114274,0.31311774535591513
51,1637567035.8064933,-180.0,8.467312063755669,-0.006403031212094281,0.06731826510387749,0.3130782706991398
52,1637567036.8195848,-180.0,8.473264841997395,-0.005984092691805349,0.06756061794703783,0.31297608717073266
