# bicep3, run08 optical efficiency results, 20160201
BODY 
GCP,     MCE,     TILE,    MODULE, DET_COL, DET_ROW, MCE_COL, MCE_ROW, POL,    TYPE,   RGL,     RNTI,             PSAT_LN2,          PSAT_AMBIENT,      DPDT                 
,        ,        ,        ,       ,        ,        ,        ,        ,       ,       ,        mOhm,             pW @074K,          pW @250K,          pW/K                 
integer, integer, integer, string, integer, integer, integer, integer, string, string, integer, float,            float,             float,             float                
0,       0,       8,       P2,     NaN,     NaN,     0,       0,       ,       O,      1,       NaN,              NaN,               NaN,               NaN                  
1,       0,       8,       P2,     6,       4,       0,       1,       A,      L,      1,       70.1426303117781, 95.9076287927834,  52.6421388982933,  0.225341093200469    
2,       0,       8,       P2,     6,       4,       0,       2,       B,      L,      1,       NaN,              NaN,               NaN,               NaN                  
3,       0,       8,       P2,     6,       6,       0,       3,       A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
4,       0,       8,       P2,     6,       6,       0,       4,       B,      L,      1,       NaN,              NaN,               NaN,               NaN                  
5,       0,       8,       P2,     6,       8,       0,       5,       A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
6,       0,       8,       P2,     6,       8,       0,       6,       B,      L,      1,       168.999638756619, NaN,               106.917378624914,  NaN                  
7,       0,       8,       P2,     7,       2,       0,       7,       A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
8,       0,       8,       P2,     7,       2,       0,       8,       B,      L,      1,       NaN,              NaN,               NaN,               NaN                  
9,       0,       8,       P2,     7,       4,       0,       9,       A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
10,      0,       8,       P2,     7,       4,       0,       10,      B,      L,      1,       NaN,              NaN,               NaN,               NaN                  
11,      0,       8,       P2,     7,       6,       0,       11,      A,      L,      1,       94.8493551317755, 92.8695917661683,  NaN,               NaN                  
12,      0,       8,       P2,     7,       6,       0,       12,      B,      L,      1,       NaN,              NaN,               NaN,               NaN                  
13,      0,       8,       P2,     7,       8,       0,       13,      A,      L,      1,       153.679857698772, 84.4142714564419,  89.8372237318599,  NaN                  
14,      0,       8,       P2,     7,       8,       0,       14,      B,      L,      1,       156.070096717327, 77.6891908811634,  127.980321394357,  NaN                  
15,      0,       8,       P2,     8,       2,       0,       15,      A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
16,      0,       8,       P2,     8,       2,       0,       16,      B,      L,      1,       109.379032400364, 98.7315954288951,  NaN,               NaN                  
17,      0,       8,       P2,     8,       4,       0,       17,      A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
18,      0,       8,       P2,     8,       4,       0,       18,      B,      L,      1,       NaN,              NaN,               NaN,               NaN                  
