# bicep3, run11 optical efficiency results, 20191228
BODY 
GCP,     MCE,     TILE,    MODULE, DET_COL, DET_ROW, MCE_COL, MCE_ROW, POL,    TYPE,   RGL,     RNTI,             PSAT_LN2,          PSAT_AMBIENT,      DPDT                 
,        ,        ,        ,       ,        ,        ,        ,        ,       ,       ,        mOhm,             pW @074K,          pW @260K,          pW/K                 
integer, integer, integer, string, integer, integer, integer, integer, string, string, integer, float,            float,             float,             float                
0,       0,       8,       P25,    NaN,     NaN,     0,       0,       ,       O,      1,       NaN,              NaN,               NaN,               NaN                  
1,       0,       8,       P25,    6,       4,       0,       1,       A,      L,      1,       89.0281780315412, 164.222461433687,  147.276101496739,  0.0911094620265995   
2,       0,       8,       P25,    6,       4,       0,       2,       B,      L,      1,       88.1044058186636, 176.864494560726,  160.482587165875,  0.0880747709400609   
3,       0,       8,       P25,    6,       6,       0,       3,       A,      L,      1,       96.9645643225258, 172.026204256143,  155.173382329838,  0.0906065694962677   
4,       0,       8,       P25,    6,       6,       0,       4,       B,      L,      1,       97.357396413754,  171.418678653007,  157.057403950803,  0.077211154312922    
5,       0,       8,       P25,    6,       8,       0,       5,       A,      L,      1,       117.980729699606, 183.793030455956,  165.634696086585,  0.0976254535987676   
6,       0,       8,       P25,    6,       8,       0,       6,       B,      L,      1,       119.033364103164, 189.192759516235,  171.008964312575,  0.0977623398046265   
7,       0,       8,       P25,    7,       2,       0,       7,       A,      L,      1,       88.7355163441208, 190.172451946154,  174.205032914806,  0.0858463388782119   
8,       0,       8,       P25,    7,       2,       0,       8,       B,      L,      1,       87.7579584361353, 219.642327202906,  202.299572284929,  0.0932406178385862   
9,       0,       8,       P25,    7,       4,       0,       9,       A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
10,      0,       8,       P25,    7,       4,       0,       10,      B,      L,      1,       91.5011654568427, 185.680614450687,  168.040100866738,  0.0948414708814501   
11,      0,       8,       P25,    7,       6,       0,       11,      A,      L,      1,       99.0041401326356, 175.737124225612,  158.555752021578,  0.0923729688388937   
12,      0,       8,       P25,    7,       6,       0,       12,      B,      L,      1,       100.679669172273, 174.686331695247,  156.926999271548,  0.0954802818478395   
13,      0,       8,       P25,    7,       8,       0,       13,      A,      L,      1,       122.860087456743, 177.861817597506,  157.707344994083,  0.108357379588296    
14,      0,       8,       P25,    7,       8,       0,       14,      B,      L,      1,       131.058474251075, 174.629418585568,  154.650403864262,  0.107414057641432    
15,      0,       8,       P25,    8,       2,       0,       15,      A,      L,      1,       90.5422950815529, 208.729517286117,  191.517297849015,  0.0925388141779669   
16,      0,       8,       P25,    8,       2,       0,       16,      B,      L,      1,       86.4075974489671, 201.323472318468,  181.929145822848,  0.104270572557095    
17,      0,       8,       P25,    8,       4,       0,       17,      A,      L,      1,       95.3829336639721, 108.27422174893,   NaN,               NaN                  
18,      0,       8,       P25,    8,       4,       0,       18,      B,      L,      1,       NaN,              NaN,               NaN,               NaN                  
19,      0,       8,       P25,    8,       6,       0,       19,      A,      L,      1,       104.318123339297, 193.954204507462,  176.246839943833,  0.0952008847506939   
20,      0,       8,       P25,    8,       6,       0,       20,      B,      L,      1,       112.156283014839, 170.85253746361,   152.545069041627,  0.0984272495805496   
21,      0,       8,       P25,    8,       8,       0,       21,      A,      D,      1,       142.187698050778, 200.357159513083,  211.726349592038,  NaN                  
22,      0,       8,       P25,    NaN,     NaN,     1,       0,       ,       O,      1,       NaN,              NaN,               NaN,               NaN                  
23,      0,       8,       P25,    3,       8,       1,       1,       A,      L,      1,       129.977142821533, 174.803581799937,  158.386959885347,  0.0882614081429558   
24,      0,       8,       P25,    3,       8,       1,       2,       B,      L,      1,       119.808184481404, 191.959805558747,  173.731214277364,  0.0980031789321657   
25,      0,       8,       P25,    4,       2,       1,       3,       A,      L,      1,       92.3930723366605, 192.188884414418,  175.050772882009,  0.0921403845828478   
26,      0,       8,       P25,    4,       2,       1,       4,       B,      L,      1,       92.6478373207553, 192.227215440535,  174.679750918291,  0.0943412071088364   
27,      0,       8,       P25,    4,       4,       1,       5,       A,      L,      1,       92.2071460069782, 157.268279123978,  139.59406378886,   0.0950226630920362   
28,      0,       8,       P25,    4,       4,       1,       6,       B,      L,      1,       91.5047437842717, 171.837875388075,  153.3717184013,    0.099280413907394    
29,      0,       8,       P25,    4,       6,       1,       7,       A,      L,      1,       99.6234742297967, 192.209646593447,  174.615043020637,  0.0945946428645729   
30,      0,       8,       P25,    4,       6,       1,       8,       B,      L,      1,       94.1228537913871, 194.090413695802,  176.710085214874,  0.093442626241548    
31,      0,       8,       P25,    4,       8,       1,       9,       A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
32,      0,       8,       P25,    4,       8,       1,       10,      B,      L,      1,       117.252222013531, 196.704449682547,  177.893726918019,  0.101132918088861    
33,      0,       8,       P25,    5,       2,       1,       11,      A,      L,      1,       90.3226869001056, 176.736048455117,  159.238060612915,  0.0940752034526999   
34,      0,       8,       P25,    5,       2,       1,       12,      B,      L,      1,       NaN,              NaN,               NaN,               NaN                  
35,      0,       8,       P25,    5,       4,       1,       13,      A,      L,      1,       88.6558126590274, 161.809819349752,  144.096940110565,  0.0952305335440152   
36,      0,       8,       P25,    5,       4,       1,       14,      B,      L,      1,       88.8848158597518, 162.429950505411,  143.98784837378,   0.0991510867292008   
37,      0,       8,       P25,    5,       6,       1,       15,      A,      L,      1,       97.0052807064015, 182.125305008782,  164.534667734845,  0.0945733186770805   
38,      0,       8,       P25,    5,       6,       1,       16,      B,      L,      1,       98.1402096686079, 178.223912522817,  160.085357043305,  0.0975191154812486   
39,      0,       8,       P25,    5,       8,       1,       17,      A,      L,      1,       114.783350836883, 177.416833317872,  158.917795640639,  0.0994571918130776   
40,      0,       8,       P25,    5,       8,       1,       18,      B,      L,      1,       114.47001399293,  188.14159117193,   169.137799070149,  0.102170925278394    
41,      0,       8,       P25,    6,       2,       1,       19,      A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
42,      0,       8,       P25,    6,       2,       1,       20,      B,      L,      1,       87.9684309868468, 213.317867788544,  195.128909945194,  0.0977900959319915   
43,      0,       8,       P25,    NaN,     NaN,     1,       21,      ,       O,      1,       NaN,              NaN,               NaN,               NaN                  
44,      0,       8,       P25,    1,       2,       2,       0,       A,      L,      1,       108.978389108609, 136.70711072682,   119.141890746739,  0.0944366665595724   
45,      0,       8,       P25,    1,       2,       2,       1,       B,      L,      1,       105.455427644343, 164.732049278499,  146.901787794933,  0.0958616208793887   
