# bicep3, run09 optical efficiency results, 20170201
BODY 
GCP,     MCE,     TILE,    MODULE, DET_COL, DET_ROW, MCE_COL, MCE_ROW, POL,    TYPE,   RGL,     RNTI,             PSAT_LN2,          PSAT_AMBIENT,      DPDT                 
,        ,        ,        ,       ,        ,        ,        ,        ,       ,       ,        mOhm,             pW @074K,          pW @242K,          pW/K                 
integer, integer, integer, string, integer, integer, integer, integer, string, string, integer, float,            float,             float,             float                
44,      0,       8,       P25,    1,       2,       2,       0,       A,      L,      1,       109.195268645326, 138.242095214427,  119.377530361062,  0.107185027575938    
45,      0,       8,       P25,    1,       2,       2,       1,       B,      L,      1,       105.696711146225, 166.411919673331,  147.107790528691,  0.109682551958182    
46,      0,       8,       P25,    1,       4,       2,       2,       A,      L,      1,       107.496593654818, 159.307319331066,  140.873883131386,  0.104735432952727    
47,      0,       8,       P25,    1,       4,       2,       3,       B,      L,      1,       104.779299943909, 150.454402903493,  130.771433917353,  0.111835051057616    
48,      0,       8,       P25,    1,       6,       2,       4,       A,      L,      1,       118.370280319109, NaN,               189.663808684221,  NaN                  
49,      0,       8,       P25,    1,       6,       2,       5,       B,      L,      1,       114.634136983732, 159.725889380521,  142.153780773806,  0.0998415261745169   
50,      0,       8,       P25,    1,       8,       2,       6,       B,      D,      1,       NaN,              NaN,               NaN,               NaN                  
51,      0,       8,       P25,    2,       2,       2,       7,       A,      L,      1,       102.885546036793, 158.181773336811,  139.51664916028,   0.10605184191211     
52,      0,       8,       P25,    2,       2,       2,       8,       B,      L,      1,       100.324623777854, 178.85546696182,   160.002657740942,  0.107118234209539    
53,      0,       8,       P25,    2,       4,       2,       9,       A,      L,      1,       101.338967827667, 160.208323513621,  141.532510360867,  0.106112574731557    
54,      0,       8,       P25,    2,       4,       2,       10,      B,      L,      1,       99.5251561994956, 155.732206557249,  136.05225201555,   0.111817923532384    
55,      0,       8,       P25,    2,       6,       2,       11,      A,      L,      1,       110.678019080022, 171.760281729888,  153.803850313289,  0.102025178503406    
56,      0,       8,       P25,    2,       6,       2,       12,      B,      L,      1,       108.705734739974, 166.737886098602,  147.840059921999,  0.107374012367063    
57,      0,       8,       P25,    2,       8,       2,       13,      A,      L,      1,       126.788337808471, 184.014172701017,  166.220044013724,  0.101103003905072    
58,      0,       8,       P25,    2,       8,       2,       14,      B,      L,      1,       125.970552323005, 181.633819105077,  162.083699919168,  0.111080222647209    
59,      0,       8,       P25,    3,       2,       2,       15,      A,      L,      1,       98.2114916918591, 177.235354445438,  158.720510768519,  0.105197975437043    
60,      0,       8,       P25,    3,       2,       2,       16,      B,      L,      1,       96.4136921092612, 192.203483005741,  173.05363580044,   0.10880595003012     
61,      0,       8,       P25,    3,       4,       2,       17,      A,      L,      1,       97.6484080239231, 171.762696509709,  153.310894053286,  0.104839786684221    
62,      0,       8,       P25,    3,       4,       2,       18,      B,      L,      1,       95.3640283599272, 168.757332872288,  149.178551546244,  0.111243075716158    
63,      0,       8,       P25,    3,       6,       2,       19,      A,      L,      1,       105.274631665387, 174.607749399648,  156.134012834395,  0.104964412302577    
64,      0,       8,       P25,    3,       6,       2,       20,      B,      L,      1,       103.970397515755, 190.351631639545,  171.744170202705,  0.105724212709317    
65,      0,       8,       P25,    NaN,     NaN,     2,       21,      ,       O,      1,       NaN,              NaN,               NaN,               NaN                  
66,      0,       8,       P25,    NaN,     NaN,     3,       0,       ,       O,      1,       NaN,              NaN,               NaN,               NaN                  
67,      0,       8,       P25,    3,       5,       3,       1,       A,      L,      1,       98.9778398818139, 149.627977177958,  131.540341535303,  0.102770657060537    
68,      0,       8,       P25,    3,       5,       3,       2,       B,      L,      1,       97.2301511961446, 156.425350444972,  137.451393084244,  0.107806575913226    
69,      0,       8,       P25,    3,       3,       3,       3,       A,      L,      1,       95.2123031436883, 151.306776656507,  132.888981904567,  0.104646561090568    
70,      0,       8,       P25,    3,       3,       3,       4,       B,      L,      1,       93.8890893302959, 157.674006987986,  138.720059489995,  0.107692883511309    
71,      0,       8,       P25,    3,       1,       3,       5,       A,      L,      1,       102.022078061213, 164.227446131189,  146.525234815004,  0.10058074611469     
72,      0,       8,       P25,    3,       1,       3,       6,       B,      L,      1,       99.813668454991,  203.678386545751,  185.435291407465,  0.103653949649351    
73,      0,       8,       P25,    2,       7,       3,       7,       A,      L,      1,       114.114449150708, 166.981784746866,  154.37937012109,   0.0716046285555495   
74,      0,       8,       P25,    2,       7,       3,       8,       B,      L,      1,       113.590669267568, 165.176448311489,  146.107128376511,  0.108348408721465    
75,      0,       8,       P25,    2,       5,       3,       9,       A,      L,      1,       103.641287392733, 154.433177303443,  136.339270697002,  0.102806287536594    
76,      0,       8,       P25,    2,       5,       3,       10,      B,      L,      1,       101.196050587172, 156.486252197983,  138.058202654402,  0.104704826952162    
77,      0,       8,       P25,    2,       3,       3,       11,      A,      L,      1,       100.538987643621, 152.565946503257,  134.484502138106,  0.102735479347449    
78,      0,       8,       P25,    2,       3,       3,       12,      B,      L,      1,       98.6263621723945, 152.999929100506,  133.821730914141,  0.108967035149802    
79,      0,       8,       P25,    2,       1,       3,       13,      A,      L,      1,       105.99595929632,  158.692820857925,  140.554948586016,  0.103056092454028    
80,      0,       8,       P25,    2,       1,       3,       14,      B,      L,      1,       103.852411548377, 175.182673695357,  157.204672204101,  0.102147735745775    
81,      0,       8,       P25,    1,       7,       3,       15,      A,      L,      1,       127.139180058146, NaN,               193.69710046495,   NaN                  
82,      0,       8,       P25,    1,       7,       3,       16,      B,      L,      1,       120.796263288438, 159.367760211133,  140.187635880764,  0.108977979149823    
83,      0,       8,       P25,    1,       5,       3,       17,      A,      L,      1,       110.570631491014, 174.37465355205,   156.41720038727,   0.102030983890792    
84,      0,       8,       P25,    1,       5,       3,       18,      B,      L,      1,       108.223635731481, 158.48328421594,   140.734329403868,  0.1008463341595      
85,      0,       8,       P25,    1,       3,       3,       19,      A,      L,      1,       105.988998551765, 157.069850842293,  138.409142232222,  0.106026753466318    
86,      0,       8,       P25,    1,       3,       3,       20,      B,      L,      1,       103.906618510521, 152.184732434218,  132.621374298245,  0.111155443954394    
87,      0,       8,       P25,    1,       1,       3,       21,      A,      D,      1,       113.06490142854,  193.431257313003,  193.139108829616,  0.0016599345647001   
88,      0,       8,       P25,    NaN,     NaN,     4,       0,       ,       O,      1,       NaN,              NaN,               NaN,               NaN                  
89,      0,       8,       P25,    6,       1,       4,       1,       A,      L,      1,       95.8927459412172, 173.174057529856,  154.687430246061,  0.105037655021562    
90,      0,       8,       P25,    6,       1,       4,       2,       B,      L,      1,       94.2994145529197, 201.364829739374,  182.521671513012,  0.107063399013418    
91,      0,       8,       P25,    5,       7,       4,       3,       A,      L,      1,       106.759137370537, 175.612442972767,  157.044154116116,  0.105501641230971    
92,      0,       8,       P25,    5,       7,       4,       4,       B,      L,      1,       106.372819918123, 173.826327947292,  154.369879559812,  0.110548002201591    
93,      0,       8,       P25,    5,       5,       4,       5,       A,      L,      1,       94.7300935760939, 166.40289215045,   148.03593918373,   0.104357687310908    
94,      0,       8,       P25,    5,       5,       4,       6,       B,      L,      1,       93.6342523013803, 162.428345892701,  143.48173799363,   0.107651181244722    
95,      0,       8,       P25,    5,       3,       4,       7,       A,      L,      1,       89.4713160323248, 166.211665997394,  147.59857071456,   0.10575622319792     
96,      0,       8,       P25,    5,       3,       4,       8,       B,      L,      1,       89.1484492557798, 166.386731861217,  147.051293019744,  0.109860447962919    
97,      0,       8,       P25,    5,       1,       4,       9,       A,      L,      1,       97.0562664440542, 172.855731347552,  154.566771904121,  0.103914542292221    
