# bicep3, run08 optical efficiency results, 20161114
BODY 
GCP,     MCE,     TILE,    MODULE, DET_COL, DET_ROW, MCE_COL, MCE_ROW, POL,    TYPE,   RGL,     RNTI,             PSAT_LN2,          PSAT_AMBIENT,      DPDT                 
,        ,        ,        ,       ,        ,        ,        ,        ,       ,       ,        mOhm,             pW @074K,          pW @250K,          pW/K                 
integer, integer, integer, string, integer, integer, integer, integer, string, string, integer, float,            float,             float,             float                
0,       0,       8,       P2,     NaN,     NaN,     0,       0,       ,       O,      1,       NaN,              NaN,               NaN,               NaN                  
1,       0,       8,       P2,     6,       4,       0,       1,       A,      L,      1,       69.9715752602169, 80.12154255452,    80.2593716745229,  NaN                  
2,       0,       8,       P2,     6,       4,       0,       2,       B,      L,      1,       78.0196885942094, 88.0174430720838,  86.1557715045177,  0.00969620608107294  
3,       0,       8,       P2,     6,       6,       0,       3,       A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
4,       0,       8,       P2,     6,       6,       0,       4,       B,      L,      1,       78.381438115878,  94.4907649810692,  95.4948200516205,  NaN                  
5,       0,       8,       P2,     6,       8,       0,       5,       A,      L,      1,       135.567345333105, 99.6559082310597,  88.0650575850264,  0.0603690137814238   
6,       0,       8,       P2,     6,       8,       0,       6,       B,      L,      1,       167.502126906766, -124.262787280165, 10.6016173649824,  NaN                  
7,       0,       8,       P2,     7,       2,       0,       7,       A,      L,      1,       94.115821801069,  NaN,               106.512373209292,  NaN                  
8,       0,       8,       P2,     7,       2,       0,       8,       B,      L,      1,       101.300721245505, 116.503726443627,  NaN,               NaN                  
9,       0,       8,       P2,     7,       4,       0,       9,       A,      L,      1,       91.8058247193641, NaN,               93.3316088566044,  NaN                  
10,      0,       8,       P2,     7,       4,       0,       10,      B,      L,      1,       98.0621167242625, 103.699993770737,  17.1070194769944,  NaN                  
11,      0,       8,       P2,     7,       6,       0,       11,      A,      L,      1,       95.2831355827941, 157.148534870773,  92.4430302062893,  NaN                  
12,      0,       8,       P2,     7,       6,       0,       12,      B,      L,      1,       93.292691396721,  102.249795573412,  92.3365861039241,  0.0516312993202471   
13,      0,       8,       P2,     7,       8,       0,       13,      A,      L,      1,       153.438113760543, NaN,               NaN,               NaN                  
14,      0,       8,       P2,     7,       8,       0,       14,      B,      L,      1,       155.807755745357, 0.579660430340731, NaN,               NaN                  
15,      0,       8,       P2,     8,       2,       0,       15,      A,      L,      1,       107.002396476573, 108.328050064122,  NaN,               NaN                  
16,      0,       8,       P2,     8,       2,       0,       16,      B,      L,      1,       110.577034948652, 103.436536390291,  93.370363776931,   0.0524279823612517   
