Date_________JDUT, , ,Azi_(a-app), Elev_(a-app),
************************************************
$$SOE
2459548.543750000,*,m, 207.381231,    21.637090,
2459548.544444445,*,m, 207.131307,    21.637189,
2459548.545138889,*,m, 206.881383,    21.637288,
2459548.545833333,*,m, 206.631459,    21.637388,
2459548.546527778,*,m, 206.381535,    21.637487,
2459548.547222222,*,m, 206.131611,    21.637587,
2459548.547916667,*,m, 205.881687,    21.637686,
2459548.548611111,*,m, 205.631763,    21.637786,
2459548.549305555,*,m, 205.381839,    21.637886,
2459548.550000000,*,m, 205.131915,    21.637986,
2459548.550694444,*,m, 204.881992,    21.638086,
2459548.551388889,*,m, 204.632068,    21.638186,
2459548.552083333,*,m, 204.382144,    21.638286,
2459548.552777778,*,m, 204.132220,    21.638387,
2459548.553472222,*,m, 203.882296,    21.638487,
2459548.554166667,*,m, 203.632373,    21.638588,
2459548.554861111,*,m, 203.382449,    21.638688,
2459548.555555556,*,m, 203.132525,    21.638789,
2459548.556250000,*,m, 202.882602,    21.638890,
2459548.556944444,*,m, 202.632678,    21.638991,
2459548.557638889,*,m, 202.382755,    21.639093,
2459548.558333333,*,m, 202.132831,    21.639194,
2459548.559027778,*,m, 201.882907,    21.639295,
2459548.559722222,*,m, 201.632984,    21.639397,
2459548.560416667,*,m, 201.383060,    21.639499,
2459548.561111111,*,m, 201.133137,    21.639600,
2459548.561805556,*,m, 200.883213,    21.639702,
2459548.562500000,*,m, 200.633290,    21.639804,
2459548.563194444,*,m, 200.383366,    21.639906,
2459548.563888889,*,m, 200.133443,    21.640009,
2459548.564583333,*,m, 199.883520,    21.640111,
2459548.565277778,*,m, 199.633596,    21.640214,
2459548.565972222,*,m, 199.383673,    21.640316,
2459548.566666667,*,m, 199.133750,    21.640419,
2459548.567361111,*,m, 198.883826,    21.640522,
2459548.568055556,*,m, 198.633903,    21.640625,
2459548.568750000,*,m, 198.383980,    21.640728,
2459548.569444444,*,m, 198.134056,    21.640831,
2459548.570138889,*,m, 197.884133,    21.640935,
2459548.570833333,*,m, 197.634210,    21.641038,
2459548.571527778,*,m, 197.384287,    21.641142,
2459548.572222222,*,m, 197.134364,    21.641245,
2459548.572916667,*,m, 196.884440,    21.641349,
2459548.573611111,*,m, 196.634517,    21.641453,
2459548.574305556,*,m, 196.384594,    21.641557,
2459548.575000000,*,m, 196.134671,    21.641661,
2459548.575694445,*,m, 195.884748,    21.641766,
2459548.576388889,*,m, 195.634825,    21.641870,
2459548.577083333,*,m, 195.384902,    21.641975,
2459548.577777778,*,m, 195.134979,    21.642079,
2459548.578472222,*,m, 194.885056,    21.642184,
2459548.579166667,*,m, 194.635133,    21.642289,
2459548.579861111,*,m, 194.385210,    21.642394,
2459548.580555555,*,m, 194.135287,    21.642499,
2459548.581250000,*,m, 193.885364,    21.642605,
2459548.581944444,*,m, 193.635441,    21.642710,
2459548.582638889,*,m, 193.385518,    21.642815,
2459548.583333333,*,m, 193.135595,    21.642921,
2459548.584027778,*,m, 192.885672,    21.643027,
2459548.584722222,*,m, 192.635749,    21.643133,
2459548.585416667,*,m, 192.385826,    21.643239,
2459548.586111111,*,m, 192.135903,    21.643345,
2459548.586805556,*,m, 191.885980,    21.643451,
2459548.587500000,*,m, 191.636057,    21.643558,
2459548.588194444,*,m, 191.386134,    21.643664,
2459548.588888889,*,m, 191.136212,    21.643771,
2459548.589583333,*,m, 190.886289,    21.643878,
2459548.590277778,*,m, 190.636366,    21.643985,
2459548.590972222,*,m, 190.386443,    21.644092,
2459548.591666667,*,m, 190.136520,    21.644199,
2459548.592361111,*,m, 189.886598,    21.644306,
2459548.593055556,*,m, 189.636675,    21.644413,
2459548.593750000,*,m, 189.386752,    21.644521,
2459548.594444444,*,m, 189.136829,    21.644629,
2459548.595138889,*,m, 188.886907,    21.644736,
2459548.595833333,*,m, 188.636984,    21.644844,
2459548.596527778,*,m, 188.387061,    21.644952,
2459548.597222222,*,m, 188.137138,    21.645060,
2459548.597916667,*,m, 187.887216,    21.645169,
2459548.598611111,*,m, 187.637293,    21.645277,
2459548.599305556,*,m, 187.387370,    21.645386,
2459548.600000000,*,m, 187.137448,    21.645494,
2459548.600694444,*,m, 186.887525,    21.645603,
